keyword,slug,category,intent,page_type,entity_type,entity_name,cluster_label,source,source_url,impressions,clicks,ctr,position
магний для женщин,magniy-dlya-zhenschin,Аудитории,commercial,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
магний для мужчин,magniy-dlya-muzhchin,Аудитории,commercial,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
магний для детей,magniy-dlya-detey,Аудитории,commercial,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
магний для спортсменов,magniy-dlya-sportsmenov,Аудитории,commercial,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
магний для беременных,magniy-dlya-beremennyh,Аудитории,commercial,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
омега-3 для женщин,omega-3-dlya-zhenschin,Аудитории,commercial,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
омега-3 для мужчин,omega-3-dlya-muzhchin,Аудитории,commercial,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
омега-3 для детей,omega-3-dlya-detey,Аудитории,commercial,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
омега-3 для спортсменов,omega-3-dlya-sportsmenov,Аудитории,commercial,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
омега-3 для беременных,omega-3-dlya-beremennyh,Аудитории,commercial,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
витамин d3 для женщин,vitamin-d3-dlya-zhenschin,Аудитории,commercial,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
витамин d3 для мужчин,vitamin-d3-dlya-muzhchin,Аудитории,commercial,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
витамин d3 для детей,vitamin-d3-dlya-detey,Аудитории,commercial,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
витамин d3 для спортсменов,vitamin-d3-dlya-sportsmenov,Аудитории,commercial,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
витамин d3 для беременных,vitamin-d3-dlya-beremennyh,Аудитории,commercial,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
коллаген для женщин,kollagen-dlya-zhenschin,Аудитории,commercial,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
коллаген для мужчин,kollagen-dlya-muzhchin,Аудитории,commercial,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
коллаген для детей,kollagen-dlya-detey,Аудитории,commercial,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
коллаген для спортсменов,kollagen-dlya-sportsmenov,Аудитории,commercial,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
коллаген для беременных,kollagen-dlya-beremennyh,Аудитории,commercial,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
пробиотики для женщин,probiotiki-dlya-zhenschin,Аудитории,commercial,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
пробиотики для мужчин,probiotiki-dlya-muzhchin,Аудитории,commercial,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
пробиотики для детей,probiotiki-dlya-detey,Аудитории,commercial,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
пробиотики для спортсменов,probiotiki-dlya-sportsmenov,Аудитории,commercial,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
пробиотики для беременных,probiotiki-dlya-beremennyh,Аудитории,commercial,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
цинк для женщин,tsink-dlya-zhenschin,Аудитории,commercial,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
цинк для мужчин,tsink-dlya-muzhchin,Аудитории,commercial,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
цинк для детей,tsink-dlya-detey,Аудитории,commercial,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
цинк для спортсменов,tsink-dlya-sportsmenov,Аудитории,commercial,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
цинк для беременных,tsink-dlya-beremennyh,Аудитории,commercial,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
витамин c для женщин,vitamin-c-dlya-zhenschin,Аудитории,commercial,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
витамин c для мужчин,vitamin-c-dlya-muzhchin,Аудитории,commercial,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
