keyword,slug,category,intent,page_type,entity_type,entity_name,cluster_label,source,source_url,impressions,clicks,ctr,position
магний для женщин,magniy-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
магний для мужчин,magniy-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
магний для детей,magniy-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
магний для спортсменов,magniy-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
магний для беременных,magniy-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
омега-3 для женщин,omega-3-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
омега-3 для мужчин,omega-3-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
омега-3 для детей,omega-3-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
омега-3 для спортсменов,omega-3-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
омега-3 для беременных,omega-3-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
витамин d3 для женщин,vitamin-d3-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
витамин d3 для мужчин,vitamin-d3-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
витамин d3 для детей,vitamin-d3-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
витамин d3 для спортсменов,vitamin-d3-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
витамин d3 для беременных,vitamin-d3-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
коллаген для женщин,kollagen-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
коллаген для мужчин,kollagen-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
коллаген для детей,kollagen-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
коллаген для спортсменов,kollagen-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
коллаген для беременных,kollagen-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
пробиотики для женщин,probiotiki-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
пробиотики для мужчин,probiotiki-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
пробиотики для детей,probiotiki-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
пробиотики для спортсменов,probiotiki-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
пробиотики для беременных,probiotiki-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
цинк для женщин,tsink-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
цинк для мужчин,tsink-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
цинк для детей,tsink-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
цинк для спортсменов,tsink-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
цинк для беременных,tsink-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
витамин c для женщин,vitamin-c-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
витамин c для мужчин,vitamin-c-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
витамин c для детей,vitamin-c-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
витамин c для спортсменов,vitamin-c-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
витамин c для беременных,vitamin-c-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
ашваганда для женщин,ashvaganda-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
ашваганда для мужчин,ashvaganda-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
ашваганда для детей,ashvaganda-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
ашваганда для спортсменов,ashvaganda-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
ашваганда для беременных,ashvaganda-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
куркумин для женщин,kurkumin-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
куркумин для мужчин,kurkumin-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
куркумин для детей,kurkumin-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
куркумин для спортсменов,kurkumin-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
куркумин для беременных,kurkumin-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
железо для женщин,zhelezo-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
железо для мужчин,zhelezo-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
железо для детей,zhelezo-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
железо для спортсменов,zhelezo-dlya-sportsmenov,,,audience,audience,для спортсменов,audience:dlya-sportsmenov,seed_generator,,,,,
железо для беременных,zhelezo-dlya-beremennyh,,,audience,audience,для беременных,audience:dlya-beremennyh,seed_generator,,,,,
мелатонин для женщин,melatonin-dlya-zhenschin,,,audience,audience,для женщин,audience:dlya-zhenschin,seed_generator,,,,,
мелатонин для мужчин,melatonin-dlya-muzhchin,,,audience,audience,для мужчин,audience:dlya-muzhchin,seed_generator,,,,,
мелатонин для детей,melatonin-dlya-detey,,,audience,audience,для детей,audience:dlya-detey,seed_generator,,,,,
